%time,field.header.seq,field.servo1_position,field.u1
1.24E+00,206,0.515918136,0.52359879
1.24E+00,207,0.515918136,0.52359879
1.25E+00,208,0.522256553,0.52359879
1.25E+00,209,0.522256553,0.52359879
1.26E+00,210,0.522256553,0.52359879
1.27E+00,211,0.522256553,0.52359879
1.27E+00,212,0.534933746,0.52359879
1.28E+00,213,0.534933746,0.52359879
1.28E+00,214,0.52859515,0.52359879
1.29E+00,215,0.522256553,0.52359879
1.30E+00,216,0.522256553,0.52359879
1.30E+00,217,0.534933746,0.52359879
1.31E+00,218,0.522256553,0.52359879
1.31E+00,219,0.52859515,0.52359879
1.32E+00,220,0.522256553,0.52359879
1.33E+00,221,0.522256553,0.52359879
1.33E+00,222,0.52859515,0.52359879
1.34E+00,223,0.522256553,0.52359879
1.34E+00,224,0.522256553,0.52359879
1.35E+00,225,0.52859515,0.52359879
1.36E+00,226,0.522256553,0.52359879
1.36E+00,227,0.522256553,0.52359879
1.37E+00,228,0.522256553,0.52359879
1.37E+00,229,0.522256553,0.52359879
1.38E+00,230,0.522256553,0.52359879
1.39E+00,231,0.522256553,0.52359879
1.39E+00,232,0.522256553,0.52359879
1.40E+00,233,0.522256553,0.52359879
1.40E+00,234,0.52859515,0.52359879
1.41E+00,235,0.52859515,0.52359879
1.42E+00,236,0.522256553,0.52359879
1.42E+00,237,0.522256553,0.52359879
1.43E+00,238,0.52859515,0.52359879
1.43E+00,239,0.522256553,0.52359879
1.44E+00,240,0.522256553,0.52359879
1.45E+00,241,0.522256553,0.52359879
1.45E+00,242,0.522256553,0.52359879
1.46E+00,243,0.522256553,0.52359879
1.46E+00,244,0.522256553,0.52359879
1.47E+00,245,0.52859515,0.52359879
1.48E+00,246,0.522256553,0.52359879
1.48E+00,247,0.522256553,0.52359879
1.49E+00,248,0.52859515,0.52359879
1.49E+00,249,0.522256553,0.52359879
1.50E+00,250,0.522256553,0.52359879
1.51E+00,251,0.522256553,0.52359879
1.51E+00,252,0.522256553,0.52359879
1.52E+00,253,0.522256553,0
1.52E+00,254,0.522256553,0
1.53E+00,255,0.522256553,0
1.54E+00,256,0.52859515,0
1.54E+00,257,0.52859515,0
1.55E+00,258,0.52859515,0
