time,seq,timestamp,field.header.frame_id,q,theta1,theta2,u1,u2,u3
1.49676834699791E+018,32448,1.49676834699594E+018,,-0.0877463967,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834700649E+018,32449,1.49676834700294E+018,,-0.0941328555,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834701056E+018,32450,1.49676834700894E+018,,-0.1005191728,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834701853E+018,32451,1.49676834701494E+018,,-0.113292098,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834702268E+018,32452,1.49676834702094E+018,,-0.116485253,-0.0063045556,2.1355879307,0,1.0471975803,0
1.496768347031E+018,32453,1.49676834702694E+018,,-0.1196784079,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834703519E+018,32454,1.49676834703294E+018,,-0.1228717119,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834704324E+018,32455,1.49676834703894E+018,,-0.1260648668,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834704721E+018,32456,1.49676834704594E+018,,-0.1292581707,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834705538E+018,32457,1.49676834705194E+018,,-0.1324513257,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834705956E+018,32458,1.49676834705794E+018,,-0.1324513257,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.4967683470678E+018,32459,1.49676834706394E+018,,-0.1356443465,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.4967683470717E+018,32460,1.49676834706994E+018,,-0.1356443465,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834708021E+018,32461,1.49676834707594E+018,,-0.1356443465,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834708421E+018,32462,1.49676834708194E+018,,-0.1324513257,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834709257E+018,32463,1.49676834708894E+018,,-0.1292581707,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834709662E+018,32464,1.49676834709494E+018,,-0.1260648668,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834710467E+018,32465,1.49676834710094E+018,,-0.1260648668,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834710853E+018,32466,1.49676834710694E+018,,-0.1228717119,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834711703E+018,32467,1.49676834711294E+018,,-0.1196784079,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834712117E+018,32468,1.49676834711894E+018,,-0.1196784079,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834712919E+018,32469,1.49676834712494E+018,,-0.116485253,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834713321E+018,32470,1.49676834713094E+018,,-0.113292098,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834714183E+018,32471,1.49676834713694E+018,,-0.113292098,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834714559E+018,32472,1.49676834714294E+018,,-0.1100987867,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834715381E+018,32473,1.49676834714894E+018,,-0.1037124768,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834715773E+018,32474,1.49676834715494E+018,,-0.1005191728,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834716625E+018,32475,1.49676834716094E+018,,-0.0973260179,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834717015E+018,32476,1.49676834716694E+018,,-0.0941328555,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834717824E+018,32477,1.49676834717394E+018,,-0.0909395516,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834718225E+018,32478,1.49676834717994E+018,,-0.0877463967,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834719066E+018,32479,1.49676834718594E+018,,-0.0877463967,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834719468E+018,32480,1.49676834719194E+018,,-0.0845530927,-0.0063045556,1.0468498468,0,1.0471975803,0
1.4967683472029E+018,32481,1.49676834719794E+018,,-0.0813599378,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834720709E+018,32482,1.49676834720394E+018,,-0.0813599378,-0.0063045556,1.0468498468,0,1.0471975803,0
1.4967683472153E+018,32483,1.49676834720994E+018,,-0.0781667754,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834721943E+018,32484,1.49676834721694E+018,,-0.0781667754,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834722767E+018,32485,1.49676834722294E+018,,-0.0717803165,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834723155E+018,32486,1.49676834722894E+018,,-0.0685871616,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834724001E+018,32487,1.49676834723494E+018,,-0.0653940067,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834724381E+018,32488,1.49676834724094E+018,,-0.062200848,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834725208E+018,32489,1.49676834724694E+018,,-0.062200848,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834725617E+018,32490,1.49676834725294E+018,,-0.0590076894,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834726436E+018,32491,1.49676834725994E+018,,-0.0558143854,-0.0063045556,1.0468498468,0,1.0471975803,0
1.49676834726834E+018,32492,1.49676834726594E+018,,-0.0558143854,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834727673E+018,32493,1.49676834727194E+018,,-0.0526212268,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834728073E+018,32494,1.49676834727794E+018,,-0.0526212268,3.90668674299E-06,1.0468498468,0,1.0471975803,0
1.49676834728487E+018,32495,1.49676834728394E+018,,-0.0494279228,3.90668674299E-06,1.0468498468,0,1.0471975803,0
