time,field.header.seq,field.header.stamp,field.header.frame_id,field.joint_angle,field.servo1_position,field.servo2_position,field.motor_current,field.servo1_current,field.servo2_current,field.u1,field.u2,field.u3
1.50E+18,437,1.50E+18,,0.198707515,0.28052471,0.077337028,0.180231326,0.249822617,0.748472691,0.471238898,0,1
1.50E+18,438,1.50E+18,,0.204799793,0.305639998,0.058450541,0.341631683,0.249822617,0.549409866,0.5131268,0,1
1.50E+18,439,1.50E+18,,0.204799793,0.33703422,0.045859524,0.260931505,0.299587727,0.549409866,0.5131268,0,1
1.50E+18,440,1.50E+18,,0.204799793,0.362149507,0.033268508,0.0726298,0.349352837,0.698705196,0.555014702,0,1
1.50E+18,441,1.50E+18,,0.198707515,0.380986011,0.020677491,0.153331267,0.349352837,0.698705196,0.591666616,0,1
1.50E+18,442,1.50E+18,,0.192615529,0.424937651,0.014381945,0.368533031,0.349352837,0.698705196,0.591666616,0,1
1.50E+18,443,1.50E+18,,0.192615529,0.43749522,0.008086475,0.260931505,0.249822617,0.599174976,0.624827872,0,0
1.50E+18,444,1.50E+18,,0.192615529,0.575629377,0.22842915,0.260931505,0.299587727,0.599174976,0.624827872,0,0
1.50E+18,445,1.50E+18,,0.192615529,0.49400458,0.014381945,0.207131386,0.249822617,0.748472691,0.654498469,0,0
1.50E+18,446,1.50E+18,,0.198707515,0.506562299,0.001790929,0.314732912,0.200057507,0.648940086,0.680678408,0,0
1.50E+18,447,1.50E+18,,0.204799793,1.624192373,-0.287802338,0.234031445,0.000994682,0.549409866,0.701622359,0,0
1.50E+18,448,1.50E+18,,0.204799793,0.487725946,0.108814531,0.180231326,0.249822617,0.648940086,0.701622359,0,0
1.50E+18,449,1.50E+18,,0.198707515,0.575629377,0.001790929,0.314732912,0.399117947,0.698705196,0.720820981,0,0
1.50E+18,450,1.50E+18,,0.204799793,0.600744815,0.001790929,0.153331267,-1.292905331,0.748472691,0.736528944,0,0
1.50E+18,451,1.50E+18,,0.210891779,0.625859952,0.014381945,0.180231326,0.249822617,0.599174976,0.736528944,0,0
1.50E+18,452,1.50E+18,,0.216983473,0.644696305,0.001790929,0.153331267,0.299587727,0.648940086,0.750491578,0,0
