time,field.header.seq,field.header.stamp,field.header.frame_id,field.joint_angle,field.servo1_position,field.servo2_position,field.motor_current,field.servo1_current,field.servo2_current,field.u1,field.u2,field.u3
1.50E+18,640,1.50E+18,,0.454572386,0.638417521,0.392112289,0.234031445,0.399117947,0.648940086,0.759218225,0.380481777,0
1.50E+18,641,1.50E+18,,0.454572386,0.663532959,0.392112289,0.314732912,0.399117947,0.698705196,0.759218225,0.380481777,0
1.50E+18,642,1.50E+18,,0.460664664,0.676090528,0.392112289,0.126429919,0.399117947,0.698705196,0.774926188,0.380481777,0
1.50E+18,643,1.50E+18,,0.454572386,0.707484449,0.398407911,0.341631683,0.299587727,0.599174976,0.788888822,0.382227106,0
1.50E+18,644,1.50E+18,,0.472848636,0.701205966,0.379521348,0.153331267,0.399117947,0.748472691,0.801106127,0.382227106,0
1.50E+18,645,1.50E+18,,0.478940622,0.720042319,0.392112289,0.314732912,0.299587727,0.648940086,0.801106127,0.382227106,0
1.50E+18,646,1.50E+18,,0.472848636,2.000921537,0.033268508,0.395433091,-2.238447189,0.449877262,0.811578102,0.383972435,0
1.50E+18,647,1.50E+18,,0.478940622,0.745157757,0.385816819,0.126429919,0.448885441,0.698705196,0.820304748,0.385717765,1
1.50E+18,648,1.50E+18,,0.485032608,0.757715024,0.385816819,0.314732912,0.349352837,0.648940086,0.820304748,0.385717765,1
1.50E+18,649,1.50E+18,,0.485032608,0.76399411,0.385816819,0.287832853,0.448885441,0.947533131,0.825540736,0.385717765,1
1.50E+18,650,1.50E+18,,0.485032608,0.776551377,0.385816819,0.207131386,0.349352837,0.648940086,0.830776724,0.387463094,1
1.50E+18,651,1.50E+18,,0.491124885,0.782830462,0.385816819,0.287832853,0.349352837,0.599174976,0.830776724,0.387463094,1
1.50E+18,652,1.50E+18,,0.49721658,0.795388332,0.385816819,0.314732912,0.299587727,0.648940086,0.834267382,0.389208423,1
1.50E+18,653,1.50E+18,,0.49721658,0.801666815,0.385816819,0.42233315,0.399117947,0.648940086,0.834267382,0.389208423,1
1.50E+18,654,1.50E+18,,0.509400843,0.820503469,0.385816819,0.207131386,0.399117947,0.698705196,0.836012712,0.389208423,1
1.50E+18,655,1.50E+18,,0.503308566,0.883291613,0.423589944,0.44923321,0.448885441,0.648940086,0.836012712,0.389208423,1
1.50E+18,656,1.50E+18,,0.515492538,0.820503469,0.385816819,0.153331267,0.349352837,0.599174976,0.836012712,0.389208423,1
1.50E+18,657,1.50E+18,,0.527676801,0.833061038,0.385816819,0.260931505,0.100527286,0.549409866,0.836012712,0.390953752,1
1.50E+18,658,1.50E+18,,0.533768787,1.033983339,0.392112289,0.234031445,0.598180771,0.449877262,0.832522053,0.390953752,1
1.50E+18,659,1.50E+18,,0.527676801,0.839339822,0.392112289,0.395433091,0.399117947,0.648940086,0.830776724,0.390953752,1
1.50E+18,660,1.50E+18,,0.539860773,0.839339822,0.385816819,0.234031445,0.349352837,0.599174976,0.830776724,0.390953752,1
1.50E+18,661,1.50E+18,,0.539860773,0.839339822,0.385816819,0.287832853,-2.487275124,0.549409866,0.827286065,0.390953752,1
1.50E+18,662,1.50E+18,,0.545952759,0.851897391,0.385816819,0.42233315,0.349352837,0.400114536,0.827286065,0.390953752,1
1.50E+18,663,1.50E+18,,0.558137023,0.839339822,0.392112289,0.287832853,0.299587727,0.599174976,0.823795407,0.390953752,1
1.50E+18,664,1.50E+18,,0.558137023,0.839339822,0.392112289,0.180231326,0.399117947,0.648940086,0.818559419,0.390953752,1
1.50E+18,665,1.50E+18,,0.570320995,0.845618606,0.392112289,0.314732912,0.249822617,0.549409866,0.818559419,0.390953752,1
1.50E+18,666,1.50E+18,,0.576412981,0.845618606,0.392112289,0.207131386,0.399117947,0.599174976,0.815068761,0.390953752,1
